Modelo,MSE,RMSE,MAE,MAPE (%),R2,AIC,BIC
SARIMA,188776.6850269767,434.4843898542003,292.6370547875498,3.6943539954971656,0.4690652045848964,1345.7329167092134,1358.6064716017304
Holt-Winters,228542.51983855726,478.06120930123296,324.1365248312891,4.028487317955095,0.3572237164944565,1350.218053771332,1395.3425588210127
LSTM AdamW (E2),326962.2759767154,571.8061524474141,420.43071457435343,5.3639236070550576,0.15149220120228402,,
LSTM Adam (E3),335176.60059957666,578.944384720654,479.57494275323273,6.122283179452456,0.1301750064784183,,
LSTM Adam (E1),351447.40314691636,592.8299951477795,437.0697568696119,5.430963451282621,0.08795024885806635,,
LSTM AdamW (E4),496407.46572914615,704.5618963080151,525.123434132543,6.434884115801955,-0.2882391547904035,,
