DATA,REAL,PREVISAO
2020-08-01,8092.0,8483.18
2020-09-01,7109.0,7867.1436
2020-10-01,7249.0,7744.4604
2020-11-01,7014.0,7580.5454
2020-12-01,7170.000000000001,7751.836
2021-01-01,7424.0,7438.2437
2021-02-01,6614.0,7186.2666
2021-03-01,7867.999999999999,7322.452
2021-04-01,7435.999999999999,7350.0913
2021-05-01,8368.0,8161.678
2021-06-01,8188.0,7989.353
2021-07-01,8913.0,8210.404
2021-08-01,8282.0,8032.3677
2021-09-01,7205.0,7385.9956
2021-10-01,7550.0,7409.29
2021-11-01,7382.999999999999,7269.9873
2021-12-01,8117.000000000001,7265.8887
2022-01-01,9327.0,7122.9946
2022-02-01,7212.0,6871.6714
2022-03-01,7308.0,7113.7
2022-04-01,7273.000000000001,7110.64
2022-05-01,8381.0,7350.2446
2022-06-01,8677.0,7560.0435
2022-07-01,8306.0,7838.403
2022-08-01,8219.0,7807.8716
2022-09-01,7774.0,7320.6367
2022-10-01,7618.999999999999,7382.748
2022-11-01,7322.0,7392.9614
2022-12-01,7654.0,7589.256
