DATA,REAL,PREVISAO
2020-08-01,8092.0,8403.122
2020-09-01,7109.0,7879.373
2020-10-01,7249.0,7758.218
2020-11-01,7014.0,7588.3374
2020-12-01,7170.000000000001,7766.655
2021-01-01,7424.0,7441.2896
2021-02-01,6614.0,7181.1055
2021-03-01,7867.999999999999,7318.723
2021-04-01,7435.999999999999,7347.089
2021-05-01,8368.0,8132.144
2021-06-01,8188.0,7988.4526
2021-07-01,8913.0,8210.055
2021-08-01,8282.0,8049.398
2021-09-01,7205.0,7383.173
2021-10-01,7550.0,7397.5386
2021-11-01,7382.999999999999,7249.2666
2021-12-01,8117.000000000001,7232.509
2022-01-01,9327.0,7113.7095
2022-02-01,7212.0,6932.039
2022-03-01,7308.0,7193.1953
2022-04-01,7273.000000000001,7213.7554
2022-05-01,8381.0,7444.623
2022-06-01,8677.0,7577.048
2022-07-01,8306.0,7778.4326
2022-08-01,8219.0,7698.1777
2022-09-01,7774.0,7295.078
2022-10-01,7618.999999999999,7366.6904
2022-11-01,7322.0,7388.2676
2022-12-01,7654.0,7564.638
